user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status,Sentiment
RamanGrew,Canada,Twitter for iPhone,,12-04-2021 03:07,FALSE,72,"@Parwind44289728 #DelhiPolice_TorturingFarmers

Good morning",0,FALSE,Positive
farmers_stand,,Twitter for iPhone,,12-04-2021 03:07,FALSE,1763,"&amp; now surviving the heat for their rights

Modi govt. On other side; has forgotten the welfare of nation &amp; followin… https://t.co/cwsNFoeTOG",0,FALSE,Negative
kaurnavjothere,,Twitter for Android,,12-04-2021 03:07,FALSE,107,We cannot sit quietly while the Gundaraaj of Delhi police &amp; bjp politicians continuing harming our innocent farmers… https://t.co/a9vooJGNO2,2,FALSE,Positive
Iamjazzie96,Canada 🍁,Twitter for iPhone,,12-04-2021 03:07,TRUE,1790,"@Manpree75939264 Yes...Make it no 1

#DelhiPolice_TorturingFarmers",0,FALSE,Positive
ohi_kudi,,Twitter for iPhone,,12-04-2021 03:07,FALSE,694,Stop harassing our farmers #DelhiPolice_TorturingFarmers https://t.co/E7425Iuoct,1,FALSE,Positive
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:07,FALSE,423,"Nice 👍 #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/HelIQadfNl",2,FALSE,Positive
drhksibia,"Ludhiana, India",Twitter for Android,,12-04-2021 03:07,TRUE,359,"#DelhiPolice_TorturingFarmers 
REPEAL three BLACK laws , stop ATROCITIES....

@Tractor2twitr @_ManikGoyal… https://t.co/04SbNvufbq",0,FALSE,Negative
KULVEER29653138,Hatepur,Twitter Web App,,12-04-2021 03:07,FALSE,395,"@ohi_kudi Too much.. 
#DelhiPolice_TorturingFarmers",0,FALSE,Positive
Motivat77087905,ਪੰਜ+ਆਬ,Twitter for Android,,12-04-2021 03:07,TRUE,285,It's very shameful that Delhi police torturing farmers without any reason .just because they fight for their rights… https://t.co/PhYuuu6JSg,3,FALSE,Positive
KaranJassi18,,Twitter for Android,,12-04-2021 03:06,FALSE,36,"Today Hashtag 
Retweet 

#DelhiPolice_TorturingFarmers https://t.co/Go5GzJC0ot",0,FALSE,Positive
drhksibia,"Ludhiana, India",Twitter for Android,,12-04-2021 03:06,TRUE,359,"#DelhiPolice_TorturingFarmers 
REPEAL three BLACK laws , stop ATROCITIES....

@Tractor2twitr @_ManikGoyal… https://t.co/3BGLknk8wP",0,FALSE,Negative
Jasdeep29910602,,Twitter for iPhone,,12-04-2021 03:06,FALSE,17,Youth of India is under attack from Delhi Police and Home Minister. Shame on Government.… https://t.co/Zi0SqTtWip,0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:06,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/VBcX6APhQd,0,FALSE,Positive
gurpreetarg,India,Twitter for Android,,12-04-2021 03:06,FALSE,1,"Take 3 laws back and let farmers live a respectable life.
#DelhiPolice_TorturingFarmers",0,FALSE,Positive
MaanAmrit6,,Twitter for Android,,12-04-2021 03:06,FALSE,71,"It is the fight for the right. It is the fight for https://t.co/PtNKldZduz is the fight for future generations.
Far… https://t.co/yzee27yxKX",1,FALSE,Positive
RamanGrew,Canada,Twitter for iPhone,,12-04-2021 03:06,FALSE,72,"#DelhiPolice_TorturingFarmers

Delhi Police Torturing Farmers",0,FALSE,Positive
Manniepreet,,NoFoodNoFarmer,,12-04-2021 03:06,FALSE,192,Use of force and torturing farmers by Delhi police on behest of Modi is not going to work. United nations stand tog… https://t.co/9gFh8xHKy9,0,FALSE,Positive
macdhillonn,"Toronto, Ontario",Twitter for iPhone,,12-04-2021 03:06,TRUE,115,Modi Government is targeting minor communities one by one. We all should stand together and get rid of such a shitt… https://t.co/JKHcF1GBFz,3,FALSE,Negative
SonnyJudge1,,NoFoodNoFarmer,,12-04-2021 03:06,FALSE,561,Delhi police is helping BJP in dividing the country. Farmers are uniting the country.… https://t.co/KxmZWiCy0l,0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:06,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/0a89lqJKv2,0,FALSE,Positive
drhksibia,"Ludhiana, India",Twitter for Android,,12-04-2021 03:06,TRUE,359,"#DelhiPolice_TorturingFarmers 
REPEAL three BLACK laws , stop ATROCITIES....

@Tractor2twitr @_ManikGoyal… https://t.co/7ClCa0YU8h",0,FALSE,Negative
SukheetJataana,Canada,NoFoodNoFarmer,,12-04-2021 03:06,FALSE,494,"Delhi police used teargas on on peaceful farmers who are protesting for their rights
#DelhiPolice_TorturingFarmers… https://t.co/ayvKj5VwM9",0,FALSE,Positive
Iamjazzie96,Canada 🍁,Twitter for iPhone,,12-04-2021 03:06,TRUE,1790,It doesn’t surprise us at all but it’s hurting us after seeing our innocent people r suffering and getting attacked… https://t.co/6PwXqN2PnZ,4,FALSE,Positive
nain_vaishali,,Twitter for Android,,12-04-2021 03:06,FALSE,10,Modi you are playing with innocent souls who feed the world. United against the black laws . No matter how much you… https://t.co/0twS4bW4qz,0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:05,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/tfW9qNYmDa,0,FALSE,Positive
Motivat77087905,ਪੰਜ+ਆਬ,Twitter for Android,,12-04-2021 03:05,TRUE,285,"Use Hashtag in support of farmers 
#DelhiPolice_TorturingFarmers",3,FALSE,Positive
gill_psg,,ISupportFarmers,,12-04-2021 03:05,FALSE,64,"Police 'torturing' farmers in UP, Uttarakhand to stop them from joining protests: BKU
#DelhiPolice_TorturingFarmers… https://t.co/NaXSKfPWRC",0,FALSE,Positive
Hallaaaa_Bol,,Twitter for Android,,12-04-2021 03:05,FALSE,36,"@Kisanektamorcha @capt_amarinder Shame on dehli police same like 84 target only Sikhs
#DelhiPolice_TorturingFarmers",1,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:05,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/TUnXLhqJUa,0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:05,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/UUq07z9oqs,0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:05,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/ese4ZRwlXt,0,FALSE,Positive
Jagsir_S_Gill,,Twitter for Android,,12-04-2021 03:05,FALSE,436,"First JNU and Jamia,
Now #FarmersProtest
#DelhiPolice_TorturingFarmers",0,FALSE,Positive
rumsomal,"brampton, universe",Twitter for Android,,12-04-2021 03:05,FALSE,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/NbAuT5DQaV",0,FALSE,Negative
Jasdeep29910602,,Twitter for iPhone,,12-04-2021 03:05,FALSE,17,Example of power abuse #DelhiPolice_TorturingFarmers,0,FALSE,Positive
RamanGrew,Canada,Twitter for iPhone,,12-04-2021 03:05,FALSE,72,"@SandhuLittle #DelhiPolice_TorturingFarmers 

The arsonists did not know that
 If the wind changes direction, they will not survive",0,FALSE,Positive
kaursandhu84,ਅੰਬਰਸਰੀਏ (ਮਾਝੇ ਆਲੇ),Twitter for Android,,12-04-2021 03:05,FALSE,24,DelhiPolice_TorturingFarmers https://t.co/xAoYrRLOjK,0,FALSE,Positive
Hydraty1,,Twitter Web App,,12-04-2021 03:05,FALSE,330,"Shame on you #DelhiPolice_TorturingFarmers 
Shame on you #DelhiPolice_TorturingFarmers https://t.co/70oNt3lO0G",0,FALSE,Positive
Manpree75939264,,Twitter for iPhone,,12-04-2021 03:05,FALSE,423,"@DelhiPolice shame shame #DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/mMPciuSieB",0,FALSE,Positive
supin4_justice,"Ontario, Canada 🇨🇦",Twitter for iPhone,,12-04-2021 03:05,FALSE,504,Where is Amit Shah? These are signs of democracy failure. #DelhiPolice_TorturingFarmers https://t.co/Z4Ai4TQU7G,0,FALSE,Negative
karanvirk77,👑 ਪੰਜ-ਆਬ 👑 ⚔️Sikh Empire⚔️,Twitter for Android,,12-04-2021 03:04,FALSE,992,And daring those ripples build a current which can sweep down the mightiest walls of oppression and resistance :-Ro… https://t.co/5GU07WjHG1,0,FALSE,Negative
